date,month,product,category,region,quantity,unit_price,total_sales
2025-01-01,January,Muffin,Bakery,Uptown,2,3.25,6.5
2025-01-01,January,Cold Brew,Beverage,Downtown,3,4.0,12.0
2025-01-01,January,Muffin,Bakery,Downtown,1,3.25,3.25
2025-01-01,January,Croissant,Bakery,Suburban,3,3.75,11.25
2025-01-01,January,Muffin,Bakery,Suburban,3,3.25,9.75
2025-01-01,January,Croissant,Bakery,Suburban,1,3.75,3.75
2025-01-01,January,Cold Brew,Beverage,Uptown,2,4.0,8.0
2025-01-01,January,Latte,Beverage,Suburban,3,4.5,13.5
2025-01-01,January,Croissant,Bakery,Suburban,2,3.75,7.5
2025-01-01,January,Croissant,Bakery,Uptown,2,3.75,7.5
2025-01-01,January,Latte,Beverage,Uptown,1,4.5,4.5
2025-01-01,January,Bagel,Bakery,Suburban,1,2.95,2.95
2025-01-01,January,Muffin,Bakery,Uptown,1,3.25,3.25
2025-01-01,January,Espresso,Beverage,Suburban,3,3.25,9.75
2025-01-01,January,Cold Brew,Beverage,Suburban,1,4.0,4.0
2025-01-01,January,Cold Brew,Beverage,Suburban,3,4.0,12.0
2025-01-02,January,Muffin,Bakery,Uptown,1,3.25,3.25
2025-01-02,January,Cold Brew,Beverage,Downtown,2,4.0,8.0
2025-01-02,January,Croissant,Bakery,Suburban,1,3.75,3.75
2025-01-02,January,Muffin,Bakery,Suburban,3,3.25,9.75
2025-01-02,January,Cold Brew,Beverage,Uptown,3,4.0,12.0
2025-01-02,January,Latte,Beverage,Uptown,3,4.5,13.5
2025-01-02,January,Espresso,Beverage,Suburban,2,3.25,6.5
2025-01-02,January,Latte,Beverage,Downtown,2,4.5,9.0
2025-01-02,January,Muffin,Bakery,Downtown,2,3.25,6.5
2025-01-02,January,Latte,Beverage,Suburban,2,4.5,9.0
2025-01-02,January,Bagel,Bakery,Downtown,2,2.95,5.9
2025-01-02,January,Muffin,Bakery,Suburban,2,3.25,6.5
2025-01-02,January,Espresso,Beverage,Suburban,1,3.25,3.25
2025-01-02,January,Muffin,Bakery,Suburban,2,3.25,6.5
2025-01-02,January,Bagel,Bakery,Suburban,2,2.95,5.9
2025-01-02,January,Latte,Beverage,Suburban,1,4.5,4.5
2025-01-02,January,Croissant,Bakery,Suburban,1,3.75,3.75
2025-01-02,January,Latte,Beverage,Downtown,3,4.5,13.5
2025-01-02,January,Muffin,Bakery,Suburban,3,3.25,9.75
2025-01-02,January,Croissant,Bakery,Suburban,2,3.75,7.5
2025-01-02,January,Latte,Beverage,Uptown,3,4.5,13.5
2025-01-02,January,Cold Brew,Beverage,Uptown,2,4.0,8.0
2025-01-02,January,Espresso,Beverage,Downtown,1,3.25,3.25
2025-01-02,January,Espresso,Beverage,Suburban,2,3.25,6.5
2025-01-02,January,Croissant,Bakery,Suburban,2,3.75,7.5
2025-01-02,January,Croissant,Bakery,Suburban,1,3.75,3.75
2025-01-03,January,Croissant,Bakery,Uptown,2,3.75,7.5
2025-01-03,January,Espresso,Beverage,Suburban,2,3.25,6.5
2025-01-03,January,Latte,Beverage,Downtown,2,4.5,9.0
2025-01-03,January,Cold Brew,Beverage,Suburban,2,4.0,8.0
2025-01-03,January,Latte,Beverage,Uptown,1,4.5,4.5
2025-01-03,January,Bagel,Bakery,Downtown,3,2.95,8.85
